trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
AIR_422_V7_M,10:42:00,10:42:00,90403,3,0,0
AIR_422_V7_M,10:43:00,10:43:00,90404,4,0,0
AIR_422_V7_M,10:47:00,10:47:00,90405,7,0,0
AIR_422_V7_M,10:57:00,10:57:00,90406,13,0,0
AIR_4222_V5_M,07:09:00,07:09:00,90401,1,0,0
AIR_4222_V5_M,07:11:00,07:11:00,90402,2,0,0
AIR_4222_V5_M,07:12:00,07:12:00,90403,3,0,0
AIR_4222_V5_M,07:13:00,07:13:00,90404,4,0,0
AIR_4222_V5_M,07:17:00,07:17:00,90405,7,0,0
AIR_4222_V5_M,07:27:00,07:27:00,90406,13,0,0
AIR_424_V5_M,11:09:00,11:09:00,90401,1,0,0
AIR_424_V5_M,11:11:00,11:11:00,90402,2,0,0
AIR_424_V5_M,11:12:00,11:12:00,90403,3,0,0
AIR_424_V5_M,11:13:00,11:13:00,90404,4,0,0
AIR_424_V5_M,11:17:00,11:17:00,90405,7,0,0
AIR_424_V5_M,11:27:00,11:27:00,90406,13,0,0
AIR_426_V6_M,11:39:00,11:39:00,90401,1,0,0
AIR_426_V6_M,11:41:00,11:41:00,90402,2,0,0
AIR_426_V6_M,11:42:00,11:42:00,90403,3,0,0
AIR_426_V6_M,11:43:00,11:43:00,90404,4,0,0
AIR_426_V6_M,11:47:00,11:47:00,90405,7,0,0
AIR_426_V6_M,11:57:00,11:57:00,90406,13,0,0
AIR_426_V7_M,11:39:00,11:39:00,90401,1,0,0
AIR_426_V7_M,11:41:00,11:41:00,90402,2,0,0
AIR_426_V7_M,11:42:00,11:42:00,90403,3,0,0
AIR_426_V7_M,11:43:00,11:43:00,90404,4,0,0
AIR_426_V7_M,11:47:00,11:47:00,90405,7,0,0
AIR_426_V7_M,11:57:00,11:57:00,90406,13,0,0
AIR_428_V5_M,12:09:00,12:09:00,90401,1,0,0
AIR_428_V5_M,12:11:00,12:11:00,90402,2,0,0
AIR_428_V5_M,12:12:00,12:12:00,90403,3,0,0
